Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Telegraph Hill Partners;https://www.crunchbase.com/organization/telegraph-hill;16;7;San Francisco, California, United States;Private Equity Firm;Telegraph Hill Partners is a California-based private equity firm investing in life sciences, medical device, and healthcare companies.;http://www.thpartners.net;;;;12;9;;;
Telegraph Hill Capital;https://www.crunchbase.com/organization/telegraph-hill-capital;27;6;San Francisco, California, United States;Venture Capital;Telegraph Hill Capital is an early-stage investment firm focused on mobile centric companies primarily in the United States.;http://www.thcap.com;https://twitter.com/Thcap2;;http://www.linkedin.com/in/jacklynrome;19;1;;;
TEL Venture Capital;https://www.crunchbase.com/organization/tel-venture-capital;5;3;Fremont, California, United States;Venture Capital;TEL Venture Capital firmly believe that their future is built on a foundation of trust. It is essential that they make efficient use of;http://www.tel.com/eng/about/telvc.htm;;;;4;;;;
Tekton Ventures;https://www.crunchbase.com/organization/tekton-ventures;46;9;San Francisco, California, United States;Venture Capital;Tekton Ventures is a seed-stage investment firm that partners with technology-focused entrepreneurs to build category defining companies.;http://www.tektonventures.com;http://twitter.com/jaichoi;;;38;2;;;
TEEC Angel Fund;https://www.crunchbase.com/organization/teec-angel-fund;135;13;Palo Alto, California, United States;Angel Group;TEEC Angel Fund provides seed and early stage venture investments and is based in California.;http://www.teec-angel.com;http://twitter.com/TeecAngel;http://www.facebook.com/pages/TEEC-Angel-Fund/219367094762736;http://www.linkedin.com/company/teec-angel-fund;122;5;;;
Technology Venture Investors;https://www.crunchbase.com/organization/technology-venture-investors-2;5;4;Menlo Park, California, United States;Venture Capital;Venture capital firm known for early investments in companies including Microsoft;;;;;4;3;;;
Technology Partners;https://www.crunchbase.com/organization/technology-partners;63;16;Palo Alto, California, United States;Venture Capital;Technology Partners is a venture capital firm specialized in seed-, early-, and later-stage venture and private equity investments.;http://www.technologypartners.com;;;;37;14;;;
Technicolor Ventures;https://www.crunchbase.com/organization/technicolorventures;13;2;Los Angeles, California, United States;Venture Capital;Technicolor Ventures is a stage agnostic venture group.;http://www.technicolor.vc;https://www.twitter.com/technicolorvc;;https://www.linkedin.com/company/technicolor-ventures;12;;;;
Techlink Venture Capital;https://www.crunchbase.com/organization/techlink-venture-capital;;;Fremont, California, United States;Venture Capital;Early stage venture capital fund;http://www.techlinkvc.com;;;;;;;;
TechHarvest Group;https://www.crunchbase.com/organization/tech-harvest-group;2;1;Rancho Santa Margarita, California, United States;Venture Capital;A venture capital firm specializing in investments in early to mid stage companies.;http://www.;https://www.;https://www.;;2;1;;;
TechFellow Fund;https://www.crunchbase.com/organization/techfellow-fund;1;;San Francisco, California, United States;Venture Capital;TechFellow Fund;;;;;1;;;;
Techfarm Ventures;https://www.crunchbase.com/organization/techfarm-ventures;9;4;Palo Alto, California, United States;Venture Capital;Techfarm Ventures provides private equity capital for innovative technologies that show clear promise of becoming leaders in large,;http://www.techfarm.com;;;;8;1;;;
Tech Coast Venture Network;https://www.crunchbase.com/organization/tech-coast-venture-network;;;Orange, California, United States;Micro VC;TCVN is one of Southern Californiaâ€™s premier technology business networks.;http://tcvn.org/;http://twitter.com/techcoast;http://www.facebook.com/techcoastventurenetwork;http://www.linkedin.com/company/tech-coast-venture-network;;;;;
Tech Coast Angels;https://www.crunchbase.com/organization/tech-coast-angels;378;47;Newport Beach, California, United States;Angel Group;Invests in high-growth start-up's headquartered in Southern California;http://www.techcoastangels.com;http://twitter.com/techcoastangels;http://www.facebook.com/techcoastangels;;331;35;;;
TEC Ventures;https://www.crunchbase.com/organization/tec-ventures;15;1;Palo Alto, California, United States;Venture Capital;TEC Ventures, a seed fund, finances internet and software startups specialized in the areas of IoT, education, security, big data, and SaaS.;http://www.tec.vc;;;;13;3;;;
Team in Residence;https://www.crunchbase.com/organization/team-in-residence;;;San Francisco, California, United States;Venture Capital;A group of successful entrepreneurs and venture capitalists that partner with talented innovators to create sustainable enterprises;http://www.teaminresidence.com/;;;https://www.linkedin.com/company/team-in-residence;;;;;
Team Builder Ventures;https://www.crunchbase.com/organization/team-builder-ventures;3;;San Francisco, California, United States;Venture Capital;Team Builder Ventures aims to make investments in startups focused on developments in enterprise software and consumer internet.;;;;https://www.linkedin.com/company/3706309;3;;;;
TCV;https://www.crunchbase.com/organization/technology-crossover-ventures;236;114;Palo Alto, California, United States;Private Equity Firm;Founded in 1995, TCV is a leading provider of capital to growth-stage private and public companies in the technology industry.;http://www.tcv.com;https://twitter.com/TCVTech;https://www.facebook.com/technologycrossoverventures/;https://www.linkedin.com/company/26406?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A26406%2Cidx%3A2-1-4%2CtarId%3A1450889867409%2Ctas%3Atechnology%20crossover%20;189;118;;;
TC Growth Partners;https://www.crunchbase.com/organization/tc-growth-partners;1;;Palo Alto, California, United States;Private Equity Firm;TC Growth Partners is an investment fund that focuses on the growth of technology-enabled services companies.;http://tcgrowth.com/;;;https://www.linkedin.com/company/tc-growth;1;1;;;
TBL Capital;https://www.crunchbase.com/organization/tbl-capital;1;;San Francisco, California, United States;Venture Capital;capital fund;http://www.tblcapital.com;;;;1;1;;;
Tayrona Ventures;https://www.crunchbase.com/organization/tayrona-ventures;;;San Francisco, California, United States;Micro VC;Tayrona Ventures is a hands-on fund that invests in and works closely with early stage startups in Colombia and throughout Latin America.;http://www.tayrona.vc;http://twitter.com/tayronavc;;;;;;;
TauTona Group;https://www.crunchbase.com/organization/tautona-group;;;Redwood City, California, United States;Venture Capital;TauTona Group invests in and develops early-stage medical device technologies.;http://tautonagroup.com/;;;;;;;;
Taube Investment Partners;https://www.crunchbase.com/organization/taube-investment-partners;1;;Belmont, California, United States;Micro VC;Taube Investment Partners was added in 2013.;;;;;1;;;;
Tarsadia Investments;https://www.crunchbase.com/organization/tarsadia-investments;1;;Newport Beach, California, United States;Private Equity Firm;Tarsadia Investments is a private investment firm providing capital and strategic support for companies with substantial growth potential.;http://tarsadia.com;;;;1;1;;;
Taraval Associates;https://www.crunchbase.com/organization/taraval-associates;;;Menlo Park, California, United States;Venture Capital;Taraval Associates is a new venture and business development firm expert in all aspects of early-stage company planning, formation,;http://www.taraval.com;;;;;;;;
Tapit Partners;https://www.crunchbase.com/organization/tapit-partners;1;;Healdsburg, California, United States;Micro VC;Tapit Partners is a group of deeply experienced early-stage technology executives. What they are is very active investors of their most;http://www.tapitpartners.com;;;;1;;;;
Tao Venture Partners;https://www.crunchbase.com/organization/tao-venture-partners;5;2;San Diego, California, United States;Venture Capital;TAO Venture Capital Partners provides capital and advisory services to entrepreneurs pursuing global market opportunities in Information Te;http://www.taovp.com;;;;4;1;;;
Tano Capital;https://www.crunchbase.com/organization/tano-capital;10;;San Mateo, California, United States;Venture Capital;Tano Capital is a principal investment firm focused on global hard assets and opportunities in companies based in India and China.;http://www.tanocapital.com;;;https://www.linkedin.com/company/85541?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A85541%2Cidx%3A1-1-1%2CtarId%3A1442949854758%2Ctas%3ATano%20Capital;6;4;;;
Tank Hill Ventures;https://www.crunchbase.com/organization/tank-hill-ventures;3;;San Francisco, California, United States;Venture Capital;San Francisco based Venture Capital;http://www.th-vp.com;;;;3;1;;;
Tallwood Venture Capital;https://www.crunchbase.com/organization/tallwood-venture-capital;43;13;Menlo Park, California, United States;Venture Capital;Tallwood Venture Capital focuses on investments in differentiated technologies and products that they believe will have a significant;http://www.tallwoodvc.com;;;;25;7;;;
Talkot Capital;https://www.crunchbase.com/organization/talkot-capital;5;1;Sausalito, California, United States;Micro VC;Talkot Capital is a venture capital firm that combines venture capital with investments in public companies.;http://talkot.com;;;;3;;;;
Takeda Ventures;https://www.crunchbase.com/organization/takeda-ventures;19;4;Palo Alto, California, United States;Corporate Venture Capital;TVI's mission is to identify, help create and support the development of therapeutic innovation.;http://www.takedaventures.com/;;;;17;4;;;
Taiho Ventures;https://www.crunchbase.com/organization/taiho-ventures-2;1;;California City, California, United States;Venture Capital;Taiho Ventures is a company that specializes in the research and development of pharmaceuticals.;http://www.taiho.co.jp;;;;1;;;;
T2 Venture Creation;https://www.crunchbase.com/organization/t2-venture-capital;4;;Portola Valley, California, United States;Venture Capital;T2VC builds world-changing startups and the ecosystems that empower entrepreneurial innovation.;http://www.t2vc.com;http://twitter.com/rainforestbook;http://www.facebook.com/pages/T2-Venture-Creation/139467392794905;http://www.linkedin.com/company/t2-venture-capital;4;;;;
Synergy Ventures;https://www.crunchbase.com/organization/synergy-ventures;1;;Menlo Park, California, United States;Venture Capital;Synergy has been actively involved in medical technology and venture capital since 1996.;http://www.synergyventures.net/;;;;1;1;;;
Synergy Partners International;https://www.crunchbase.com/organization/synergy-partners-international;4;;Menlo Park, California, United States;Micro VC;Synergy has been actively involved in medical technology and venture capital since 1996. They have participated in over $600 million in;http://synergyventures.net;;;;1;1;;;
Synergy Life Science Partner;https://www.crunchbase.com/organization/synergy-life-sciences-partner;15;3;Portola Valley, California, United States;Venture Capital;Synergy Life Science Partner is a venture capital firm that finances early-stage medical device and combination product companies.;http://www.synergylsp.com;;;;6;3;;;
Synergex Ventures;https://www.crunchbase.com/organization/synergex-ventures;1;;Gold River, California, United States;Venture Capital;Synergex Ventures was added in 2011.;http://www.synergex.com/synergex-ventures;;;;1;;;;
Switch Ventures;https://www.crunchbase.com/organization/switch-ventures;21;;San Francisco, California, United States;Micro VC;A community of talented founders who switched from the common path.;http://switch.vc/;http://twitter.com/paul_arnold;http://www.facebook.com/arnoldcapital;https://www.linkedin.com/company/7583646;15;;;;
Sway Ventures;https://www.crunchbase.com/organization/swayvc;34;5;San Francisco, California, United States;Venture Capital;Sway Ventures is a US-based venture capital firm investing in early to mid-stage technology companies.;http://www.swayvc.com;http://twitter.com/AITVentures;http://www.facebook.com/AITVentures;http://www.linkedin.com/company/accelerate-it-ventures;29;8;;;
Swander Pace Capital;https://www.crunchbase.com/organization/swander-pace-capital;6;;San Francisco, California, United States;Private Equity Firm;Swander Pace Capital is a leading private equity firm specializing in investments in growth-oriented, middle-market consumer companies.;http://www.spcap.com;;;;6;3;;;
SVS Ventures;https://www.crunchbase.com/organization/svs-vc;1;;San Jose, California, United States;Venture Capital;SVS Ventures is a venture capital & private equity firm.;http://www.svsventures.net/;;;;1;;;;
SVG Partners;https://www.crunchbase.com/organization/svg-partners;9;2;Los Gatos, California, United States;Venture Capital;Founded by experienced technology executives SVG PARTNERS drives competitive advantage across organizations, from strategy to implementation;http://www.svgpartners.com;http://twitter.com/svgpartners;https://www.facebook.com/svgpartners;;9;1;;;
SVC Angel Fund;https://www.crunchbase.com/organization/svc-angel;;;Cupertino, California, United States;Micro VC;Unique Early Stage Fund focusing on Smart Manufacturing, Artificial Intelligence, etc., managed by Silicon Valley veterans.;http://www.svcangel.com/;;;;;;;;
SVB Capital;https://www.crunchbase.com/organization/svb-capital;12;3;Palo Alto, California, United States;Corporate Venture Capital;SVB Capital, a venture capital, focuses on fund of funds and direct investments in the American technology sector.;http://www.svb.com/svbcapital;http://twitter.com/SVB_Financial;http://www.facebook.com/pages/SVB-Financial-Group-Silicon-Valley;http://www.linkedin.com/company/silicon-valley-bank;11;1;;;
SVASE/Cambridge West Ventures;https://www.crunchbase.com/organization/svase-cambridge-west-ventures;3;;Redwood City, California, United States;Venture Capital;The VC Breakfast Club provides an opportunity for entrepreneurs to meet different VCs every week in an informal setting and get feedback on;http://www.svase.org;http://twitter.com/svforum;;http://www.linkedin.com/company/svforum;3;;;;
SV Tech Ventures;https://www.crunchbase.com/organization/sv-tech-vc;7;;Palo Alto, California, United States;Venture Capital;SV Tech Ventures is a Silicon Valley based VC fund investing in diversified technology companies in areas such as healthcare, TMT, and IoT .;http://www.svtechventures.com/;;;;7;1;;;
SV Angel;https://www.crunchbase.com/organization/sv-angel;709;205;San Francisco, California, United States;Micro VC;SV Angel is a San Francisco-based angel firm that helps startups with business development, financing, M&A, and other strategic advice.;http://svangel.com;https://twitter.com/svangel;https://www.facebook.com/svangelfirm;https://www.linkedin.com/company/sv-angel;611;21;;;
Sutter Hill Ventures;https://www.crunchbase.com/organization/sutter-hill-ventures;225;62;Palo Alto, California, United States;Venture Capital;Sutter Hill Ventures has financed technology-based start-ups and assisted entrepreneurs in building market-leading companies since 1962.;http://www.shv.com;http://twitter.com/shv;;http://www.linkedin.com/company/53272;123;60;;;
Sussex Capital;https://www.crunchbase.com/organization/sussex-capital;1;1;Woodland Hills, California, United States;Venture Capital;Sussex Capital is an investment real estate company that specializes in asset management and acquisitions finance.;http://www.sussexcapitalgroup.com;;;;1;;;;
Susa Ventures;https://www.crunchbase.com/organization/susa-ventures;46;3;San Francisco, California, United States;Venture Capital;Susa Ventures is an early-stage technology fund based in San Francisco.;http://www.susaventures.com;http://twitter.com/SusaVentures;http://www.facebook.com/SusaVentures;http://www.linkedin.com/company/susa-ventures;34;6;;;
SuperG Funding;https://www.crunchbase.com/organization/superg-funding;13;1;Newport Beach, California, United States;Private Equity Firm;Super G Funding, based in Newport Beach, CA, is a national provider of business financing solutions.;https://www.supergfunding.com/;https://twitter.com/supergfunding;;https://www.linkedin.com/company/super-g-funding-llc;13;;;;
Sunstone Partners;https://www.crunchbase.com/organization/sunstone-partners-2;;;Palo Alto, California, United States;Private Equity Firm;Sunstone Partners is a new investment fund focused on growth equity investments.;http://www.sunstonepartners.com/;;;https://www.linkedin.com/company/sunstone-partners;;;;;
Sunlight Capital Group; LLC;https://www.crunchbase.com/organization/sunlight-capital-group-llc;;;San Francisco, California, United States;Private Equity Firm;Sunlight Capital Group is a private investment firm focused on investing in and operating companies with a proven history.;http://www.sunlight-capital.com/;;;https://www.linkedin.com/company/10108517;;;;
SunAmerica Ventures;https://www.crunchbase.com/organization/sunamerica-ventures;17;6;Los Angeles, California, United States;Venture Capital;At SunAmerica Ventures, their goal is to build world-class technology companies by forming successful partnerships with outstanding;http://www.sunamericavc.com;;;;13;4;;;
Sunair Ventures LLC;https://www.crunchbase.com/organization/sunair-ventures-llc;;;San Francisco, California, United States;Angel Group;Sunair Ventures invests in early stage technology startups with a focus on consumer products that change the way people live and work.;http://www.sunairventures.com;http://twitter.com/sunairventures;;http://www.linkedin.com/in/djaustin;;;;;
Summation Health Ventures;https://www.crunchbase.com/organization/summation-health-ventures;4;;Long Beach, California, United States;Venture Capital;Summation Health Ventures is a strategic health care investment fund;http://shv.io/;https://twitter.com/Summation_SHV;;https://www.linkedin.com/company/summation-health-ventures;3;1;;;
Succession Capital;https://www.crunchbase.com/organization/succession-capital;;;La Jolla, California, United States;Micro VC;Succession Capital, a subsidiary of Lynx Equity Limited, is a manager of private equity funds.;http://www.succession-capital.com;http://twitter.com/LynxEquity;http://www.facebook.com/LynxEquity;http://www.linkedin.com/company/lynx-equity-limited;;;;;
Successful Entrepreneur Investors (SEI);https://www.crunchbase.com/organization/successful-entrepreneur-investors-sei;1;;San Francisco, California, United States;Venture Capital;Successful Entrepreneur Investors provides a forum for potentially high-growth companies to present their business plans;http://successfulentrepreneurs.weebly.com;https://www.twitter.com/weebly;https://www.facebook.com/weebly;;1;;;;
Subtraction Capital;https://www.crunchbase.com/organization/subtraction-capital;43;6;San Francisco, California, United States;Venture Capital;Subtraction Capital is a venture capital fund focused on Seed and Series A stage investments.;http://www.subtractioncapital.com;http://twitter.com/SubtractionCap;https://www.facebook.com/subtractioncapital;https://www.linkedin.com/company/subtractioncapital/;31;4;;;
Sturm Group;https://www.crunchbase.com/organization/sturm-group;3;1;Los Osos, California, United States;Venture Capital;Sturm Group is a company that works to improve business with government.;http://www.thesturmgroup.com;;;;3;3;;;
Structure Fund;https://www.crunchbase.com/organization/structure-llc;22;2;Los Angeles, California, United States;Micro VC;Structure Fund, an advisory and venture investment company, invests in entrepreneur-led companies focused on tech, media, and real estate.;http://www.structurefund.com;;;;22;;;;
Structure Capital;https://www.crunchbase.com/organization/structure-capital;58;6;San Francisco, California, United States;Micro VC;Early stage VC fund. First round investor in Uber, Breather, Laurel and Wolf, Cargomatic, Shyp, Salesforce;http://www.structure.vc;http://twitter.com/mwalsh;http://www.facebook.com/StructureCapital;http://www.linkedin.com/company/structure-capital;53;4;;;
Struck Capital;https://www.crunchbase.com/organization/struck-capital;19;;Los Angeles, California, United States;Venture Capital;Founder-first capital for innovative entrepreneurs who want to change the world. Humble. Hardworking. Honest. That is the core of our ethos.;http://www.struckcapital.com;;;https://www.linkedin.com/company/struck-capital;16;;;;
Strong Ventures;https://www.crunchbase.com/organization/strong-ventures;39;1;Los Angeles, California, United States;Venture Capital;Strong Ventures is a seed fund that finances, supports and mentors global entrepreneurs.;http://www.strongvc.com;;;;34;;;;
Strive Capital;https://www.crunchbase.com/organization/strive-capital;6;;San Francisco, California, United States;Venture Capital;Founded in 2011, Strive Capital finances mobile companies and is a California-based venture capital firm.;http://www.strivecap.com;http://twitter.com/StriveCapital;;;4;;;;
String Ventures;https://www.crunchbase.com/organization/string-ventures;5;1;San Francisco, California, United States;Micro VC;String Ventures provides advisory services and is a California-based seed and early stage venture capital fund.;http://www.stringventures.com/;http://twitter.com/StringVentures;http://www.facebook.com/stringventures;http://www.linkedin.com/company/string-ventures;4;;;;
StreetEdge Capital;https://www.crunchbase.com/organization/streetedge-capital;3;1;San Francisco, California, United States;Venture Capital;StreetEdge Capital, LP is an investment firm focusing on direct private equity and private equity fund investments.;http://www.streetedgecap.com/;;;;2;;;;
Streamlined Ventures;https://www.crunchbase.com/organization/streamlined-ventures;83;7;Palo Alto, California, United States;Venture Capital;Streamlined Ventures is a California-based, seed-stage investment firm focused on mobile, social, and enterprise web companies.;http://streamlinedventures.com;http://twitter.com/ullastweets;;;65;3;;;
Streamline Capital;https://www.crunchbase.com/organization/streamline-capital;1;;Santa Barbara, California, United States;Venture Capital;Streamline Capital is an investment banking firm exclusively serving small to medium sized companies.;http://www.streamline-capital.com;;;;1;;;;
Stratim Capital;https://www.crunchbase.com/organization/stratim-capital;3;;San Francisco, California, United States;Private Equity Firm;Stratim Capital provides liquidity alternatives to shareholders in privately held companies.;http://www.stratimcapital.com/;;;https://www.linkedin.com/company/stratim-capital-llc;3;;;;
Strathspey Crown LLC.;https://www.crunchbase.com/organization/strathspey-crown-llc;;;Newport Beach, California, United States;Venture Capital;Strathspey Crown LLC. was added in 2013.;https://www.strathspeycrown.com;;;;;;;;
Strategis Early Ventures;https://www.crunchbase.com/organization/strategis-early-ventures;3;;El Dorado Hills, California, United States;Angel Group;Strategis Early Ventures (SEV), is a group of individuals whose success in business places them in a position to assist other individuals;http://www.sevfund.com;;;;3;;;;
Stowe Capital;https://www.crunchbase.com/organization/stowe-capital;;;Sunnyvale, California, United States;Venture Capital;Stowe Capital was added in 2013.;http://www;;;https://www.linkedin.com/company/5483955;;;;;
Storm Ventures;https://www.crunchbase.com/organization/storm-ventures;154;30;Menlo Park, California, United States;Venture Capital;Storm Ventures is a $600m (TAM) VC firm 100% focused solely on early-stage enterprise investments.;http://stormventures.com;http://twitter.com/stormventures;http://www.facebook.com/StormVentures;https://www.linkedin.com/company/storm-ventures;84;38;;;
Stonnington Group;https://www.crunchbase.com/organization/stonnington-group-llc;;;Woodland Hills, California, United States;Venture Capital;Stonnington Group is an investment advisor, brokerage, and investment banking firm that provides personalized wealth management.;http://www.stonningtongroup.com/;https://www.twitter.com/stonningtongrp;https://www.facebook.com/101096576623845;;;;;;
Stone Canyon Venture Partners;https://www.crunchbase.com/organization/stone-canyon-venture-partners;3;;Los Angeles, California, United States;Venture Capital;Stone Canyon Venture Partners is a venture capital firm based in Los Angeles that finances early stage Small and Medium Enterprises.;http://www.stonecanyonvp.com/index.html;;;;3;1;;;
STIC International;https://www.crunchbase.com/organization/stic-international;15;3;Palo Alto, California, United States;Private Equity Firm;STIC INVESTMENTS is a Pan Asian Private Equity Group dedicated to alternative investments. The firm was founded in 1999 and currently;http://www.sticinternational.com;;;;10;1;;;
Sterling Stamos Capital Mgmt;https://www.crunchbase.com/organization/sterling-stamos-capital-mgmt;1;;Menlo Park, California, United States;Private Equity Firm;Sterling Stamos is a private investment firm that invests globally using an endowment approach across five asset classes: fixed income,;http://sterlingstamos.com;;;;1;1;;;
Stereo Capital;https://www.crunchbase.com/organization/stereo-capital;1;;Palo Alto, California, United States;Venture Capital;Growth stage fund focused on mobile, cloud and big data;http://stereocap.vc;;;;1;1;;;
Stephens Investment Management;https://www.crunchbase.com/organization/stephens-investment-management;4;2;San Francisco, California, United States;Private Equity Firm;Stephens Investment Management is a financial consulting company and operates on venture funds, income fund, and real estate fund sectors.;http://www.stephensim.com;;;;4;;;;
Step5 Venture Partners;https://www.crunchbase.com/organization/step5-venture-partners;1;;East Palo Alto, California, United States;Venture Capital;Step5 Venture Partners was added to Crunchbase.;;;;;1;;;;
Steelpoint Capital Partners;https://www.crunchbase.com/organization/steelpoint-capital-partners;13;5;Solana Beach, California, United States;Private Equity Firm;Steelpoint is interested in partnering with exceptional companies, at any stage of their growth.;http://www.steelpointcp.com;;;;11;3;;;
Steelhead Ventures; LLC;https://www.crunchbase.com/organization/steelhead-ventures-llc;3;;San Francisco, California, United States;Venture Capital;Steelhead Ventures: an early stage fund, vision to invest in market changing companies, with founders born to do what they are doing.;http://www.steelheadvc.com/investments/;;;;3;1;;
Steamboat Ventures;https://www.crunchbase.com/organization/steamboat-ventures;107;25;Burbank, California, United States;Corporate Venture Capital;Steamboat Ventures is venture capital firm affiliate of The Walt Disney Company. They invest in early-stage technology companies.;http://steamboatvc.com;;;;53;25;;;
Startup Labs;https://www.crunchbase.com/organization/startup-labs;3;;San Francisco, California, United States;Venture Capital;Backed by leading institutional investors, Startup Labs is a global seed stage investment fund.;http://www.startuplabs.org/;http://twitter.com/StartupLabs;http://www.facebook.com/startuplabs.org;http://www.linkedin.com/company/startup-labs;3;;;;
Startup Capital Ventures;https://www.crunchbase.com/organization/startup-capital-ventures;24;2;Menlo Park, California, United States;Venture Capital;Based in Silicon Valley, we focus on capital-efficient early-stage companies in the B2B & enterprise markets. We love hard tech!;http://www.startupcv.com;http://twitter.com/startupcv;;http://www.linkedin.com/company/startup-capital-ventures;18;4;;;
StartUp Beat;https://www.crunchbase.com/organization/startup-beat;;;Los Angeles, California, United States;Venture Capital;StartUp Beat profiles the worldâ€™s most innovative early-stage startups through company pitches.;http://startupbeat.com/;http://twitter.com/startupbeat1;http://www.facebook.com/startupbeat;;;;;;
StartCaps Ventures;https://www.crunchbase.com/organization/startcaps-ventures;19;1;San Francisco, California, United States;Micro VC;StartCaps Ventures is an investment company that provides support, mentoring, and guidance to projects in the technologies sector.;http://www.startcaps.com;http://twitter.com/startcaps;http://www.facebook.com/pages/StartCaps/165745893518677;http://www.linkedin.com/company/startcaps;16;;;;
Start-up101.Com Ventures;https://www.crunchbase.com/organization/start-up101-com-ventures;;;San Jose, California, United States;Venture Capital;Start-up101.Com Ventures is a venture capital firm specializing in seed, series A, early stage, growth capital, and expansion stage.;http://www.start-up101.com;;;;;;;;
Start Up Farms International;https://www.crunchbase.com/organization/start-up-farms-international;1;;Fremont, California, United States;Micro VC;Start Up Farms International LLC (SUFI) provides early-stage venture capital, physical and back-office infrastructure, professional;http://startupfarms.com;;;;1;;;;
Start Fund;https://www.crunchbase.com/organization/start-fund;61;11;San Francisco, California, United States;Micro VC;Start Fund is a San Francisco-based joint venture focused on seed- and early-stage investments.;https://angel.co/start-fund;https://angel.co/start-fund;https://angel.co/start-fund;;58;3;;;
Star Bay Partners LP;https://www.crunchbase.com/organization/star-bay-partners-lp;1;1;San Francisco, California, United States;Venture Capital;Star Bay Partners LP was added in 2009.;;;;;1;;;;
Stanislaus-Merced Angels;https://www.crunchbase.com/organization/stanislaus-merced-angels;;;Modesto, California, United States;Angel Group;The Stanislaus-Merced Angels is a recently formed angel group that is interested in start-up and early stage businesses in a wide range of;http://valleyangelgroup.com;;;;;;;;
StanfordStartX Fund;https://www.crunchbase.com/organization/stanfordstartx-fund;15;;Palo Alto, California, United States;Venture Capital;StanfordStartX Fund;http://startx.com;https://www.twitter.com/startx;https://www.facebook.com/startx;;15;;;;
Stanford Angels and Entrepreneurs;https://www.crunchbase.com/organization/stanford-angels-and-entrepreneurs;8;;Stanford, California, United States;Angel Group;Stanford Angels & Entrepreneurs seeks to strengthen Stanfords startup community by fostering relationships among entrepreneurs and alumni.;http://stanfordaande.com;http://twitter.com/StanfordAandE;http://www.facebook.com/stanfordaande;;8;1;;;
Standish Management;https://www.crunchbase.com/organization/standish-management-llc;1;;San Francisco, California, United States;Private Equity Firm;Standish Management is a 100% employee-owned provider of specialized fund administration services for Managers and General Partners.;http://standishmanagement.com/;;;;1;1;;;
Standard Pacific Capital Holdings;https://www.crunchbase.com/organization/standard-pacific-capital-holdings;1;;San Francisco, California, United States;Venture Capital;Standard Pacific Capital Holdings was added in 2011.;http://www.standardpacific.com;;;;1;;;;
Stage One Capital;https://www.crunchbase.com/organization/stage-one-capital;27;4;San Francisco, California, United States;Venture Capital;Stage One Capital is a California-based, early-stage and seed investment fund focused on investments in the internet and software sectors.;http://www.stage1capital.com;http://twitter.com/stage1capital;;http://www.linkedin.com/company/450114;20;;;;
Stafford Capital Management;https://www.crunchbase.com/organization/stafford-capital-management;;;San Francisco, California, United States;Private Equity Firm;An employee owned investment manager. The firm primarily provides its services to high net worth individuals.;http://www.staffordcapital.com/;;;;;;;;
St. Cloud Capital;https://www.crunchbase.com/organization/st-cloud-capital;3;;Los Angeles, California, United States;Private Equity Firm;St. Cloud is a private investment firm that provides growth capital to lower middle-market companies.;http://www.stcloudcapital.com;;;;3;2;;;
SSE Ventures;https://www.crunchbase.com/organization/sse-ventures;4;2;Stanford, California, United States;Venture Capital;SSE Ventures is an entrepreneurial funding source for students on the Stanford campus. SSE aims to be the premiere destination for student;http://newsse.stanford.edu/index.php?option=com_content&view=article&id=104&Itemid=153;https://www.twitter.com/stanford;https://www.facebook.com/stanford;;4;;;;
SRI Ventures;https://www.crunchbase.com/organization/sri-ventures;;;Menlo Park, California, United States;Venture Capital;SRI Ventures is the venture capital of SRI International, which is a nonprofit, independent research center.;https://www.sri.com/engage/ventures;;;;;;;;
SQue Capital;https://www.crunchbase.com/organization/sque-capital;1;;California, United States, North America;Corporate Venture Capital;SQue Capital is a VC firm focused on financial, enterprise, healthcare, internet and mobile startups.;;;;;1;1;;;
Spyglass Ventures;https://www.crunchbase.com/organization/spyglass-ventures;2;1;Laguna Beach, California, United States;Angel Group;Spyglass Ventures was formed in early 2008 by Scott Saunders and David Wood to invest in seed and early stage companies.;http://www.spyglass-ventures.com;;;;1;;;;
Springworks LLC;https://www.crunchbase.com/organization/springworks-llc;;;San Francisco, California, United States;Venture Capital;Springworks LLC prefers to invest in companies engaged in the consumer electronics sector in the technology industry.;http://www.springworks.org;https://www.twitter.com/springworks501;https://www.facebook.com/168511861693;;;;;;
Springboard Equity;https://www.crunchbase.com/organization/springboard-equity;;;Trabuco Canyon, California, United States;Venture Capital;Premier crowdfunding platform for healthcare businesses;https://www.springboardequity.com/;https://www.twitter.com/sbequity;https://www.facebook.com/sbequity;;;;;;
Spring Ventures;https://www.crunchbase.com/organization/spring-ventures;8;2;San Francisco, California, United States;Venture Capital;Spring Ventures is a California-based private equity firm focused on information technology and cleantech companies.;http://www.springventuresllc.com;;;;7;1;;;
Spotlight Equity;https://www.crunchbase.com/organization/spotlight-equity;;;San Francisco, California, United States;Private Equity Firm;Spotlight Equity Partners is a private equity firm focused on acquiring controlling interests in software and technology-enabled services .;http://www.spotlightequity.com/;;;https://www.linkedin.com/company/spotlight-equity-partners-llc;;;;;
